symbol,spot_price,bullish_score,call_oi_change_pct,total_oi_change_pct,total_oi,call_oi,put_oi,pcr,otm_call_ratio,totalGEX,gamma_sentiment,gex_applicable,surge_pattern
CPB,20.13,64.27,12.94,20.95,95827,62629,33198,0.5301,0.7513,1780644.3786262444,positive_gamma,insufficient,breakout_momentum
ACN,177.0,64.03,11.48,15.9,84465,57226,27239,0.476,0.6868,9521293.727427028,positive_gamma,insufficient,breakout_momentum
GILD,133.73,63.84,21.17,21.13,62411,37731,24680,0.6541,0.7243,5699360.760081065,positive_gamma,insufficient,breakout_momentum
BSX,57.64,63.71,9.28,12.72,171899,118992,52907,0.4446,0.9077,2716895.210946834,positive_gamma,insufficient,breakout_momentum
BAX,19.38,63.4,83.49,19.26,48305,17327,30978,1.7878,0.7671,295581.88468468457,positive_gamma,insufficient,breakout_momentum
AMZN,265.29,63.39,24.64,19.1,2117861,1374708,743153,0.5406,0.5775,646687559.3074019,positive_gamma,moderate,breakout_momentum
OXY,57.46,62.48,11.65,11.42,370397,235518,134879,0.5727,0.7562,14105374.67855663,negative_gamma,insufficient,pre_breakout
ABT,86.67,62.41,21.24,18.24,117778,69168,48610,0.7028,0.9051,-539334.896305848,positive_gamma,insufficient,breakout_momentum
SLB,57.98,61.17,37.08,24.24,270089,153705,116384,0.7572,0.5612,16431027.856378853,positive_gamma,insufficient,breakout_momentum
PSX,173.88,60.82,33.72,30.86,33669,18440,15229,0.8259,0.6325,3525784.7933249823,positive_gamma,insufficient,breakout_momentum
RTX,178.97,60.65,15.62,21.16,129673,76881,52792,0.6867,0.756,7670613.603058783,positive_gamma,insufficient,breakout_momentum
NFLX,87.68,59.62,7.32,10.68,2205793,1369947,835846,0.6101,0.9267,20838079.040099584,negative_gamma,insufficient,pre_breakout
FAST,44.45,59.53,73.82,18.54,63037,20751,42286,2.0378,0.7106,65829.66251021216,positive_gamma,insufficient,breakout_momentum
LEN,89.29,59.3,15.28,26.49,41582,24157,17425,0.7213,0.696,1949324.649045543,positive_gamma,insufficient,breakout_momentum
KDP,29.55,58.62,47.23,28.53,43920,29887,14033,0.4695,0.2271,2673963.7264495958,positive_gamma,insufficient,breakout_momentum
DHI,145.6,54.44,60.9,21.94,32558,13038,19520,1.4972,0.7283,-2165129.3093577726,negative_gamma,insufficient,pre_breakout
BA,218.9,54.2,2.16,12.39,455686,264621,191065,0.722,0.8416,16028773.384593153,negative_gamma,insufficient,pre_breakout
CL,89.85,53.75,18.04,13.33,48978,26686,22292,0.8353,0.6205,3002639.735951247,positive_gamma,insufficient,breakout_momentum
ABBV,213.12,53.52,11.49,17.35,118365,63323,55042,0.8692,0.7931,16477180.165413886,positive_gamma,insufficient,breakout_momentum
LYV,166.52,51.53,22.69,15.95,46490,27125,19365,0.7139,0.4404,8702107.849997401,positive_gamma,insufficient,breakout_momentum
CDNS,381.75,51.39,49.82,38.94,114080,62353,51727,0.8296,0.2648,28979453.774104934,positive_gamma,insufficient,breakout_momentum
HPE,38.06,48.39,40.86,36.11,170278,114329,55949,0.4894,0.0477,3500934.812551727,positive_gamma,insufficient,breakout_momentum
APH,139.56,48.2,30.57,17.3,111635,50768,60867,1.1989,0.6286,2452730.977354721,positive_gamma,insufficient,breakout_momentum
FCX,64.36,46.19,10.33,12.13,626013,341927,284086,0.8308,0.5129,24459606.950268414,positive_gamma,insufficient,breakout_momentum
ZS,184.6,45.75,8.22,10.34,93114,50865,42249,0.8306,0.5223,4676264.168564675,positive_gamma,insufficient,breakout_momentum
GOOGL,388.88,45.62,12.19,11.33,1326324,712422,613902,0.8617,0.5039,536572934.147188,positive_gamma,moderate,breakout_momentum
