symbol,spot_price,bullish_score,call_oi_change_pct,total_oi_change_pct,total_oi,call_oi,put_oi,pcr,otm_call_ratio,totalGEX,gamma_sentiment,gex_applicable,surge_pattern
SW,39.2,100.0,191.7,136.2,16083,14086,1997,0.1418,0.9953,855107.7260445944,positive_gamma,insufficient,breakout_momentum
FRT,120.16,95.67,253.94,260.92,7175,5341,1834,0.3434,0.599,1884262.3325648028,positive_gamma,insufficient,breakout_momentum
WYNN,97.87,94.57,86.42,66.46,110102,91928,18174,0.1977,0.8874,5004739.583410609,positive_gamma,insufficient,breakout_momentum
ARES,125.28,91.61,80.34,42.11,48093,31691,16402,0.5176,0.7251,3614512.9558246005,positive_gamma,insufficient,breakout_momentum
GDDY,88.99,89.73,91.1,103.35,11479,6660,4819,0.7236,0.8905,225611.95612264454,positive_gamma,insufficient,breakout_momentum
CNP,42.93,88.93,140.6,162.92,13154,10988,2166,0.1971,0.4417,1478758.6602213457,positive_gamma,insufficient,breakout_momentum
SWKS,83.42,85.63,151.38,108.05,66746,52158,14588,0.2797,0.3648,6164346.6525574075,positive_gamma,insufficient,breakout_momentum
AES,14.67,84.21,73.43,68.87,55764,33348,22416,0.6722,0.8254,2097880.443613821,positive_gamma,insufficient,breakout_momentum
INSM,108.87,81.34,53.35,52.48,22156,16088,6068,0.3772,0.8907,1411091.334253502,positive_gamma,insufficient,breakout_momentum
CSX,46.61,81.3,58.88,53.8,190293,154461,35832,0.232,0.6475,25708250.61831658,positive_gamma,insufficient,breakout_momentum
CHRW,177.91,80.62,63.36,82.94,22919,14395,8524,0.5922,0.6543,3604362.417256052,positive_gamma,insufficient,breakout_momentum
PEG,80.07,78.69,104.73,121.73,15124,6842,8282,1.2105,0.8696,306753.61445030995,positive_gamma,insufficient,breakout_momentum
WBD,27.0,74.35,83.67,32.23,832498,389504,442994,1.1373,0.9208,-5881511.275581667,negative_gamma,insufficient,pre_breakout
AFL,116.82,73.89,35.95,36.27,20388,15347,5041,0.3285,0.6885,6634537.432770996,positive_gamma,insufficient,breakout_momentum
TMUS,191.11,72.38,30.96,24.3,73418,51016,22402,0.4391,0.9324,14964088.523779145,positive_gamma,insufficient,breakout_momentum
NTAP,138.95,72.07,56.03,59.05,22309,17514,4795,0.2738,0.4587,3711721.374148795,positive_gamma,insufficient,breakout_momentum
BLDR,74.41,69.37,23.42,29.54,24094,17160,6934,0.4041,0.8163,434576.289007756,positive_gamma,insufficient,breakout_momentum
ORLY,89.87,68.48,22.58,30.28,30561,20127,10434,0.5184,0.9813,2124319.1617831173,negative_gamma,insufficient,pre_breakout
AEP,130.9,67.87,28.23,28.79,25706,15940,9766,0.6127,0.699,5638195.543902549,positive_gamma,insufficient,breakout_momentum
Q,164.57,66.55,45.03,49.58,19000,14023,4977,0.3549,0.4326,2458515.433967418,positive_gamma,insufficient,breakout_momentum
KVUE,17.49,66.34,15.86,14.81,128893,94613,34280,0.3623,0.926,2332383.9740044675,positive_gamma,insufficient,breakout_momentum
PCG,16.42,65.89,21.85,15.1,342838,214930,127908,0.5951,0.9231,1483949.618496549,negative_gamma,insufficient,pre_breakout
SO,94.09,65.04,17.46,16.26,42548,27728,14820,0.5345,0.6788,6014598.657467189,positive_gamma,insufficient,breakout_momentum
SYY,75.32,64.94,12.35,13.44,55845,45054,10791,0.2395,0.8497,8198428.883915539,positive_gamma,insufficient,breakout_momentum
